iter	Logloss
0	0.6801133698
1	0.6679695156
2	0.6457919722
3	0.6225572126
4	0.6041748359
5	0.5954695892
6	0.5778446941
7	0.5614004813
8	0.5565994598
9	0.5442457203
10	0.5352835628
11	0.527574806
12	0.5219180985
13	0.5187775715
14	0.5125633968
15	0.5097343098
16	0.5011855682
17	0.497820089
18	0.4897407619
19	0.4837223749
20	0.4803234726
21	0.474240043
22	0.4706157752
23	0.4677057164
24	0.4624763976
25	0.458319247
26	0.455503167
27	0.4532288052
28	0.4513621578
29	0.4480036576
30	0.4464236393
31	0.4449026664
32	0.4428490641
33	0.4397892755
34	0.4366056521
35	0.435943306
36	0.4331462556
37	0.4316469799
38	0.4311043139
39	0.4299935411
40	0.4291078611
41	0.4269374348
42	0.4262004816
43	0.4256566085
44	0.423868706
45	0.4228169659
46	0.4215343633
47	0.4208518087
48	0.4198217294
49	0.4185203486
50	0.4169601836
51	0.4159008889
52	0.4144938144
53	0.4136120583
54	0.4124442252
55	0.4112000998
56	0.4109169491
57	0.4099743292
58	0.4094211846
59	0.4083200198
60	0.4076334848
61	0.4068279122
62	0.405628348
63	0.4050781435
64	0.4044216817
65	0.4036577275
66	0.4030649082
67	0.4020812948
68	0.4010305453
69	0.3996275969
70	0.3989691768
71	0.3984645837
72	0.3980665632
73	0.3975533551
74	0.3934809848
75	0.3924254759
76	0.3915345555
77	0.3910220729
78	0.3899276432
79	0.3895659327
80	0.3882362179
81	0.387841844
82	0.387083347
83	0.3864641084
84	0.3858318335
85	0.3849873282
86	0.3843515219
87	0.3838602328
88	0.3833381393
89	0.3829456149
90	0.3826302897
91	0.3819237041
92	0.3814237998
93	0.3807643964
94	0.3801856055
95	0.3795410399
96	0.3789859533
97	0.3785500756
98	0.3776954201
99	0.3760089999
100	0.3753510428
101	0.3750192596
102	0.3747881305
103	0.3743051869
104	0.3739834373
105	0.3735546375
106	0.3726099982
107	0.3721663952
108	0.3701202732
109	0.3693648442
110	0.3690079531
111	0.3685047779
112	0.3683422985
113	0.3680608215
114	0.3678388451
115	0.3675970072
116	0.3672703534
117	0.3669209781
118	0.3666558382
119	0.3663812632
120	0.3654413952
121	0.3651735614
122	0.3649874635
123	0.3648193693
124	0.36450038
125	0.3641672847
126	0.3634461251
127	0.3629332428
128	0.3626939414
129	0.3621035943
130	0.3617872297
131	0.3616166965
132	0.3613786956
133	0.3612585711
134	0.3609521539
135	0.3604862665
136	0.3599714829
137	0.3597617815
138	0.3596466695
139	0.359531633
140	0.359184725
141	0.3589084839
142	0.358717574
143	0.3585893188
144	0.357757728
145	0.3575612574
146	0.3571069116
147	0.3570467034
148	0.3566696842
149	0.3565353652
150	0.356299299
151	0.3536415186
152	0.3533196339
153	0.3531804724
154	0.3530878773
155	0.3529329609
156	0.3527841662
157	0.3522946255
158	0.3521082024
159	0.3520156117
160	0.351346893
161	0.3512694297
162	0.3510631036
163	0.3507830177
164	0.3506134619
165	0.3502942747
166	0.3500842334
167	0.3498639985
168	0.3495712066
169	0.3493888774
170	0.3490485347
171	0.348787806
172	0.3485607666
173	0.3483628713
174	0.3481599048
175	0.3480293222
176	0.34772707
177	0.3476390938
178	0.3473528485
179	0.34715657
180	0.3470035467
181	0.3466962016
182	0.3461938277
183	0.345894514
184	0.3455702027
185	0.3454596574
186	0.3451825004
187	0.3450987418
188	0.3449849615
189	0.3444747889
190	0.3443123346
191	0.3441509887
192	0.3439395488
193	0.3429881467
194	0.3428869861
195	0.3426102573
196	0.3424866871
197	0.3419804717
198	0.3418511907
199	0.3416709086
